"1Cor" "1Thes" "1Tim" "2Cor" "2Thes" "2Tim" "Col" "Eph" "Gal" "Hbr" "Lao" "Phlm" "Phlp" "Rom" "Tit"
"et" 4.39963336388634 6.54804270462633 6.15964802011314 4.38515081206496 6.91489361702128 6.14859094790777 7.10382513661202 6.31970260223048 3.37711069418387 5.33854166666667 11.4285714285714 5.90062111801242 6.40614990390775 4.16415208207604 5.58069381598793
"in" 3.07057745187901 5.05338078291815 4.21118793211816 5.87006960556845 4.92021276595745 3.67207514944492 7.03551912568306 7.62081784386617 3.37711069418387 3.19010416666667 5.30612244897959 5.27950310559006 5.38116591928251 4.36028968014484 3.01659125188537
"non" 2.65811182401467 1.77935943060498 1.82275298554368 2.71461716937355 1.72872340425532 1.3663535439795 0.956284153005464 0.975836431226766 2.29831144465291 1.69270833333333 0.408163265306122 0.62111801242236 0.960922485586163 2.62522631261316 2.71493212669683
"est" 2.29147571035747 1.06761565836299 2.32558139534884 1.69373549883991 0.930851063829787 1.53714773697694 1.84426229508197 1.81226765799256 2.25140712945591 2.19184027777778 1.63265306122449 0.62111801242236 1.28122998078155 2.53470126735063 1.50829562594268
"autem" 2.62755881454323 0.99644128113879 1.57133878064111 1.55452436194896 1.32978723404255 1.70794192997438 0.40983606557377 0.882899628252788 2.15759849906191 1.32378472222222 0 2.17391304347826 1.72966047405509 1.70488835244418 1.20663650075415
"qui" 1.35960892147877 1.85053380782918 1.38277812696417 1.4385150812065 1.72872340425532 1.28095644748079 1.57103825136612 1.30111524163569 2.01688555347092 1.49739583333333 1.22448979591837 0.31055900621118 0.76873798846893 1.96137598068799 1.65912518853695
"enim" 1.17629086465017 1.56583629893238 0.817096165933375 1.29930394431555 0.398936170212766 1.02476515798463 0.341530054644809 0.557620817843866 1.59474671669794 1.69270833333333 0.816326530612245 0.62111801242236 0.704676489429853 1.93120096560048 0.904977375565611
"ut" 1.17629086465017 1.92170818505338 1.19421747328724 1.415313225058 2.52659574468085 0.597779675491033 1.09289617486339 1.53345724907063 1.03189493433396 0.802951388888889 1.63265306122449 2.17391304347826 1.28122998078155 0.905250452625226 2.4132730015083
"sed" 1.1151848457073 0.99644128113879 0.942803268384664 1.55452436194896 0.664893617021277 1.11016225448335 0.273224043715847 0.604089219330855 1.12570356472795 0.368923611111111 0.408163265306122 0.62111801242236 0.832799487508008 1.10138805069403 0.754147812971342
"vos" 1.023525817293 2.84697508896797 0 1.62412993039443 2.12765957446809 0 1.77595628415301 0.697026022304833 0.984990619136961 0.173611111111111 1.63265306122449 0 1.1531069827034 0.618587809293905 0
